publication_date,coach,name,prompt,left_option,right_option
7753,automatic,Anette Gray,past,throw,
7753,automatic,Chris Ray,comma before,so,
7753,automatic,Ursula Mitchell,comma before,that,
7753,automatic,Ursula Mitchell,past,catch,
7753,automatic,Ursula Mitchell,comma before,that,
7754,automatic,Agnes Chapman,comma before,so,
7754,automatic,Anna Wheeler,difference,while,during
7754,automatic,Anna Wheeler,comma before,because,
7754,automatic,Yvonne West,comma before,so,
7754,automatic,Fabian Bell,difference,neighbor,neighbour
7755,automatic,Margaret Morgan,past,hit,
7755,automatic,Margaret Morgan,past,hide,
7755,automatic,Matt Carpenter,comma before,but,
7755,automatic,Claudine Gross,past,fall,
7755,automatic,Claudine Gross,past,steal,
7755,automatic,Greg Benson,comma before,if,
7755,automatic,Maddie Garner,past,stand,
7755,automatic,Maddie Garner,difference,there,it
7755,automatic,George West,difference,few,a few
7755,automatic,George West,difference,give advice,give an advice
7759,automatic,George West,past,lose,
7760,automatic,Anette Gray,difference,tell,say
7760,automatic,Margaret Ford,difference,learn,study
7760,automatic,Ursula Mitchell,difference,work,job
7760,automatic,Ursula Mitchell,difference,learn,study
7760,automatic,Ursula Mitchell,comma before,because,
7760,automatic,Anna Patton,difference,tell,say
7767,automatic,Anette Gray,past,stand,
7842,automatic,Adrianne Nelson,difference,our,ours
7842,automatic,Adrianne Nelson,comma before,because,
7842,automatic,Adrianne Nelson,past,talk,
7842,automatic,Adrianne Nelson,past,ride,
7842,automatic,Adrianne Nelson,difference,haven't,don't have
7842,automatic,Adrianne Nelson,tense,plans,
7842,automatic,Adrianne Nelson,position,usually,
7842,automatic,Maddie Garner,past,teach,
7842,automatic,Maddie Garner,difference,study,learn
7842,automatic,Maddie Garner,difference,this,these
7842,automatic,Maddie Garner,difference,work,job
7842,automatic,Maddie Garner,difference,like,as
7842,automatic,Maddie Garner,difference,economy,economics
7842,automatic,Maddie Garner,difference,another,other
7842,automatic,George West,comma before,if,
7842,automatic,George West,comma before,when,
7842,automatic,George West,difference,the other,other
7842,automatic,George West,conjugation,get,
7842,automatic,Adam Hunt,comma before,and,
7842,automatic,Adam Hunt,difference,can,could
7842,automatic,Agnes Chapman,position,suddenly,
7842,automatic,Agnes Chapman,change,for,
7842,automatic,Agnes Chapman,difference,another,the other
7842,automatic,Anette Gray,difference,tell,say
7842,automatic,Anette Gray,comma after,I hope,
7842,automatic,Anette Gray,comma before,and,
7842,automatic,Anette Gray,difference,true,truth
7842,automatic,Anette Gray,difference,information,informations
7842,automatic,Anna Patton,difference,there,it
7842,automatic,Anna Patton,position,always,
7842,automatic,Anna Patton,past,catch,
7842,automatic,Anna Patton,difference,this,these
7842,automatic,Anna Wheeler,pronunciation,/ɑ/,
7842,automatic,Chris Lewis,change,for,
7842,automatic,Chris Lewis,comma before,before,
7842,automatic,Chris Lewis,comma after,Unfortunately,
7842,automatic,Chris Ray,difference,since,for
7842,automatic,Claudine Gross,difference,back,come back
7842,automatic,Claudine Gross,past,split,
7842,automatic,Claudine Gross,difference,lose,loose
7842,automatic,Claudine Gross,difference,storage,store
7842,automatic,Claudine Gross,difference,a,the
7842,automatic,Claudine Gross,difference,many information,much information
7842,automatic,Claudine Gross,difference,their,theirs
7842,automatic,Claudine Gross,past,fall,
7842,automatic,Greg Benson,conjugation,show,
7842,automatic,Greg Benson,conjugation,drink,
7842,automatic,Greg Benson,difference,I've done it,I did it
7842,automatic,Greg Benson,comma before,because,
7842,automatic,Greg Benson,position,yesterday,
7842,automatic,Greg Benson,change,about,
7842,automatic,Greg Hardy,change,at,
7842,automatic,Greg Hardy,past,know,
7842,automatic,Greg Hardy,past,think,
7842,automatic,Greg Hardy,past,take,
7842,automatic,Greg Hardy,past,make,
7842,automatic,Greg Hardy,past,come,
7842,automatic,Greg Hardy,past,break,
7842,automatic,Greg Hardy,pronunciation,/ɑ/,
7842,automatic,Martha Owen,difference,for a couple of days,in a couple of days
7842,automatic,Martha Owen,difference,email,e-mail
7842,automatic,Martha Owen,past,choose,
7842,automatic,Martha Owen,difference,It's something that I like,It's something what I like
7842,automatic,Martin Hale,difference,information,information
7842,automatic,Martin Hale,difference,until,by
7842,automatic,Martin Hale,past,fall,
7842,automatic,Margaret Ford,past,send,
7842,automatic,Margaret Ford,change,with,
7842,automatic,Margaret Ford,difference,information,informations
7842,automatic,Margaret Morgan,difference,true,truth
7842,automatic,Margaret Morgan,difference,would,would have
7842,automatic,Margaret Morgan,difference,be mad,get mad
7842,automatic,Margaret Morgan,conjugation,get,
7842,automatic,Margaret Morgan,comma before,because,
7842,automatic,Margaret Morgan,difference,learn,teach
7842,automatic,Margaret Morgan,comma after,Unfortunately,
7842,automatic,Margaret Morgan,difference,holiday,vacation
7842,automatic,Margaret Morgan,difference,I come back,I'm coming back
7842,automatic,Margaret Morgan,comma before,but,
7842,automatic,Margaret Morgan,past,want,
7842,automatic,Margaret Morgan,comma before,because,
7842,automatic,Margaret Morgan,past,feel,
7842,automatic,Matt Carpenter,difference,him,his
7842,automatic,Matt Carpenter,difference,tell,say
7842,automatic,Matt Carpenter,difference,this,these
7842,automatic,Matt Carpenter,tense,plans,
7842,automatic,Matt Carpenter,conjugation,choose,
7842,automatic,Matt Carpenter,difference,woman,women
7842,automatic,Matt Carpenter,difference,a,the
7842,automatic,Michael Stewart,difference,which,who
7842,automatic,Peter Perkins,comma before,that,
7842,automatic,Sophie Farmer,difference,That's all what I know,That's all that I know
7842,automatic,Ursula Mitchell,difference,man,men
7842,automatic,Ursula Mitchell,difference,woman,women
7842,automatic,Ursula Mitchell,past,know,
7842,automatic,Ursula Mitchell,difference,for an hour,in an hour
7842,automatic,Yvonne West,difference,him,his
7842,automatic,Yvonne West,difference,good,well
